,row_index,Review,final_sentiment,aspect_adj_string
185,150,mild  it s really mild shampoo for frizzy hair  leaves it manageable after wash ,neu,"['frizzy hair leaves', 'really mild shampoo', 'mild']"
190,152,good  good,pos,['good good']
191,153,five stars  its really super     i tried many but this given relief from hairfall,pos,"['tried many', 'really super', 'given relief']"
192,154,    this product is not sulfate free  but also i like it very much bcoz seems it improved my hair texture  and also when am start using it my hair fall has reduce  happy and satisfied with this product    ,pos,"['much bcoz seems', 'sulfate free', 'start using']"
194,156,good  good,pos,['good good']
195,157,excellent  best  ,pos,['excellent best']
198,160,love it must buy  superb,pos,"['must buy superb', 'love']"
199,161,goodone  good one will buy one more for sure,pos,"['goodone good one', 'buy one', 'sure']"
205,167,nice  god,pos,['nice god']
206,168,worst shampoo i have ever tried  exactly opposite to the name,neg,"['worst shampoo', 'name']"
213,174,nothing  nothing,neu,['nothing nothing']
221,179,good  good,pos,['good good']
222,180,duplicate product   duplicate product   hair fall problem increased after use ,neg,['use']
224,182,good   ,pos,['good']
226,184,good  very useful,pos,"['useful', 'good']"
227,185,very good amazon  very good,pos,"['good amazon', 'good']"
230,188,good  good,pos,['good good']
236,192,made me happy again  this shampoo is very good for dry rough hair and second thing is this made my hairfall reduce in     wash only before dis i probably used head   shoulder antihairfall shampoo and after using head   shoulder my hairfall is going worst ever i have seen and even i got baldness problem but this nyle made me happy again with this i got my real shine in my hair and i feel healthier again thank you so much to the nyle company thanks alot,pos,"['using head shoulder', 'going worst ever', 'got baldness problem']"
237,193,nice  good,pos,['nice good']
238,194,four stars  good,pos,['four stars good']
240,196,sailing on the nile  nyle is agood brand  cost effective and useful  like usuing this shampoo  would purchase nyle products again ,pos,"['useful like usuing', 'nile nyle', 'sailing']"
241,197,good  good,pos,['good good']
242,198,ok  good,pos,['ok good']
243,199,r  good,pos,['r good']
244,200,no improvement  not as expected  no improvement ,pos,"['improvement', 'expected']"
246,202,five stars  unke shampoo is gud hair wash krte hi hair is    g ,neu,['g']
247,203,mad  to good,neg,"['mad', 'good']"
252,208,ok  ok,pos,['ok ok']
253,209,worth to buy  worthful,pos,"['buy worthful', 'worth']"
254,210,thanks  good,pos,['thanks good']
256,212,good  like,pos,['good like']
257,213,worth money  excellent one    ,pos,[]
260,216,worth of money  gd product my hairfall almost gone  ,pos,"['money gd product', 'hairfall almost gone', 'worth']"
261,217,its didn t work  don t use it   i got a damaged piece,neg,"['damaged piece', 'work', 'use']"
262,218,shampoo bottle leaked inside the package    shampoo  bottle leaked inside the package  ,neg,['package']
263,219,superb  great,pos,['superb great']
267,223,too good  awesome for dry n frizzy hair ,pos,['good awesome']
270,226,good  nice,pos,['good nice']
271,227,good  no leakage,pos,"['leakage', 'good']"
276,230,suggestion  a small suggestion from me please bottle cap tightly fix with plaster  i received my replacement order opened cap,pos,"['small suggestion', 'suggestion', 'received']"
277,231,bakwaas  fake,neg,['bakwaas fake']
288,234,five stars        product,neu,['five stars product']
293,238,happy  no words to say  awsome product   so happy,pos,"['say awsome product', 'words', 'happy']"
297,240,good   scent ,pos,['good scent']
298,241,good    good  ,pos,['good good']
